Area,Connects from,Requirements,,Location,Area,Requirements,Id,,Item,,Npc Quests,Requirements,Area
Gripp's Hoard,,,,Pickup Axe,Gripp's Hoard,,Axe,,Axe,,Nari,Magenta Blossom,Garden
Junk Rivers,Gripp's Hoard,Axe,,Pickup Photo #5,Gripp's Hoard,,pic.5,,Cog,,Ojet,"Red Paint, Blue Paint, Green Paint",Water Gate
Launch Pad,Junk Rivers,,,Rat Skull #1,Junk Rivers,,skull.1,,Coal,,Gultch,Cooked Fish Dinner,Mountain
Tunnels,Launch Pad,,,Pickup Cog,Launch Pad,,Cog,,Carrot,,Jaz,"Pacifier, Bug Steak, Dog Treat",Motley Crew
Garden,Launch Pad,Coin,,Pickup Coal,Tunnels,,Coal,,Worm Castings,,,,
Lake Path,Launch Pad,,,Pickup Photo #3,Tunnels,,pic.3,,Fancy Button,,,,
Water Gate,Lake Path,Valve Handle,,Rat Skull #6,Tunnels,,skull.6,,Coin,,,,
Garden,Water Gate,,,Pickup Carrot,Tunnels,,Carrot,,Cute Button,,,,
Mountain,Launch Pad,Potato Battery,,Pickup Worm Castings,Tunnels,,Worm Castings,,Feather,,,,
Fisherman's Island,Lake Path,Spoon,,Pickup Fancy Button,Tunnels,,Fancy Button,,Snail Slime,,,,
Backrooms #1,Gripp's Hoard,Old Key,,Pickup Coin,Launch Pad,,Coin,,Valve Handle,,,,
Backrooms #2,Backrooms #1,Bone Key,,Pickup Cute Button,Garden,,Cute Button,,Potato Battery,,,,
Backrooms #3,Backrooms #2,Golden Key,,Pickup Feather,Garden,,Feather,,Yellow Moss,,,,
Garden Cave,Garden,Machete,,Rat Skull #3,Garden,,skull.3,,Spoon,,,,
Mountain Top,Mountain,Rope,,Pickup Snail Slime,Lake Path,,Snail Slime,,Basic Button,,,,
Motley Crew,Mountain Top,"Cymbal Button, Golden Key, Old Key, Bone Key, Cog, Basic Button, Fancy Button, Cute Button",,Pickup Photo #2,Lake Path,,pic.2,,Match,,,,
Tunnels Cave,Tunnels,"Pacifier, Bug Steak, Dog Treat",,Pickup Valve Handle,Lake Path,,Valve Handle,,Maggot,,,,
,,,,Pickup Potato Battery,Lake Path,,Potato Battery,,Bone Key,,,,
,,,,Rat Skull #2,Lake Path,,skull.2,,Magenta Blossom,,,,
,,,,Pickup Photo #1,Lake Path,,pic.1,,Yellow Pigment,,,,
,,,,Pickup Yellow Moss,Lake Path,,Yellow Moss,,Magenta Pigment,,,,
,,,,Pickup Spoon,Mountain,,Spoon,,Fish,,,,
,,,,Rat Skull #7,Mountain,,skull.7,,Old Key,,,,
,,,,Pickup Basic Button,Mountain,,Basic Button,,Frying Pan,,,,
,,,,Pickup Match,Mountain,,Match,,Machete,,,,
,,,,Pickup Maggot,Mountain,,Maggot,,Cyan Berries,,,,
,,,,Rat Skull #8,Mountain,,skull.8,,Cyan Pigment,,,,
,,,,Pickup Bone Key,Mountain,,Bone Key,,Red Paint,,,,
,,,,Pickup Photo #6,Mountain,,pic.6,,Blue Paint,,,,
,,,,Pickup Magenta Blossom,Water Gate,Potato Battery,Magenta Blossom,,Green Paint,,,,
,,,,Pickup Fish,Fisherman's Island,Maggot,Fish,,Bucket,,,,
,,,,Pickup Old Key,Junk Rivers,Feather,Old Key,,Beetle Milk,,,,
,,,,Pickup Frying Pan,Backrooms #1,,Frying Pan,,Cooked Fish Dinner,,,,
,,,,Pickup Machete,Backrooms #2,,Machete,,Rope,,,,
,,,,Rat Skull #5,Backrooms #2,,skull.5,,Golden Key,,,,
,,,,Rat Skull #4,Garden Cave,,skull.4,,Cymbal Button,,,,
,,,,Pickup Cyan Berries,Garden Cave,,Cyan Berries,,Dog Treat,,,,
,,,,Craft Cyan Pigment,Garden,Cyan Berries,Cyan Pigment,,Bug Steak,,,,
,,,,Craft Yellow Pigment,Garden,Yellow Moss,Yellow Pigment,,Pacifier,,,,
,,,,Craft Magenta Pigment,Garden,Magenta Blossom,Magenta Pigment,,,,,,
,,,,Craft Red Paint,Water Gate,"Snail Slime, Yellow Pigment, Magenta Pigment",Red Paint,,,,,,
,,,,Craft Blue Paint,Water Gate,"Snail Slime, Cyan Pigment, Magenta Pigment",Blue Paint,,,,,,
,,,,Craft Green Paint,Water Gate,"Snail Slime, Yellow Pigment, Cyan Berries",Green Paint,,,,,,
,,,,Pickup Bucket,Garden,,Bucket,,,,,,
,,,,Milk Beetle,Launch Pad,Bucket,Beetle Milk,,,,,,
,,,,Craft Cooked Fish Dinner,Mountain,"Coal, Match, Frying Pan, Fish, Carrot, Beetle Milk",Cooked Fish Dinner,,,,,,
,,,,Pickup Rope,Lake Path,,Rope,,,,,,
,,,,Rat Skull #9,Mountain Top,,skull.9,,,,,,
,,,,Pickup Golden Key,Mountain Top,,Golden Key,,,,,,
,,,,Pickup Cymbal Button,Mountain Top,"Fancy Button, Cute Button, Basic Button",Cymbal Button,,,,,,
,,,,Pickup Dog Treat,Motley Crew,,Dog Treat,,,,,,
,,,,Pickup Bug Steak,Motley Crew,,Bug Steak,,,,,,
,,,,Pickup Pacifier,Motley Crew,,Pacifier,,,,,,
,,,,Pickup Photo #4,Tunnels Cave,,pic.4,,,,,,
